time,atm_temperature,atm_humidity,atm_air_pressure,atm_air_particle,atm_air_smoke,atm_CO2_ammount,atm_sound_pressure,light_intensity,UV_intensity,quality_rating,user_likes
0,24.00,49.20,99.90,0.00,0.00,0.00,15.32,0.00,0.00,200.00,2
35046,24.10,49.20,99.90,608.33,0.00,0.00,14.98,0.00,0.00,200.00,2
69983,24.00,49.10,99.89,127.53,0.00,0.00,14.78,0.00,0.00,200.00,2
105131,24.00,49.30,99.89,0.00,0.00,0.00,14.87,0.00,0.00,200.00,2
140178,24.00,49.30,99.89,0.00,0.00,0.00,14.90,0.00,0.00,200.00,2
175224,24.00,49.10,99.89,0.00,0.00,0.00,15.18,0.00,0.00,200.00,2
210271,24.00,49.30,99.90,0.00,0.00,0.00,14.57,0.00,0.00,200.00,2
245317,24.00,49.50,99.90,437.00,0.00,0.00,14.28,0.00,0.00,200.00,2
280409,24.00,49.50,99.89,0.00,0.00,0.00,15.68,0.00,0.00,200.00,2
315456,24.00,49.70,99.90,0.00,0.00,0.00,15.47,0.00,0.00,200.00,2
350502,24.00,49.70,99.90,2707.29,0.00,0.00,15.88,0.00,0.00,200.00,2
385353,24.00,49.90,99.90,0.00,0.00,0.00,14.32,0.00,0.00,200.00,2
420402,24.00,49.80,99.88,0.00,0.00,0.00,16.03,0.00,0.00,200.00,2
455452,24.10,50.20,99.89,662.05,0.00,0.00,15.52,0.00,0.00,200.00,2
490171,24.10,49.70,99.88,2696.83,0.00,0.00,15.33,0.00,0.00,200.00,2
525209,24.00,49.70,99.88,1441.77,0.00,0.00,16.17,0.00,0.00,200.00,2
559962,24.00,49.70,99.87,679.62,0.00,0.00,15.15,0.00,0.00,200.00,2
594666,24.10,49.70,99.87,2323.49,0.00,0.00,15.88,0.00,0.00,200.00,2
630059,24.00,49.70,99.87,1070.53,0.00,0.00,15.05,0.00,0.00,200.00,2
665275,24.00,49.70,99.87,3559.04,0.00,0.00,16.12,0.00,0.00,200.00,2
700060,24.00,49.60,99.87,817.79,0.00,0.00,16.42,0.00,0.00,200.00,2
735388,24.00,49.60,99.87,0.00,0.00,0.00,16.93,0.00,0.00,200.00,2
770437,24.00,50.00,99.86,534.52,0.00,0.00,14.75,0.00,0.00,200.00,2
805628,24.00,49.60,99.86,0.00,0.00,0.00,14.40,0.00,0.00,200.00,2
840676,24.00,50.00,99.85,0.00,0.00,0.00,15.70,0.00,0.00,200.00,2
875725,24.00,50.00,99.86,0.00,0.00,0.00,15.90,0.00,0.00,200.00,2
910774,24.00,49.90,99.86,1485.00,0.00,0.00,16.58,0.00,0.00,200.00,2
945577,24.00,50.20,99.86,0.00,0.00,0.00,13.78,0.00,0.00,200.00,2
980625,24.00,50.20,99.85,3508.97,0.00,0.00,16.48,0.00,0.00,200.00,2
1015591,24.00,50.30,99.85,0.00,0.00,0.00,15.28,0.00,0.00,200.00,2
